id,directory,filepath,function_name,description,input_parameters,returns
1,core,`myR/R/core/data_preparation.R`,`.get_feature_vector`,Internal helper to extract a feature (gene or metadata column) from a Seurat object.,"`object`: Seurat object, `feature`: Feature name (gene or metadata column), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Numeric vector of feature values
2,core,`myR/R/core/data_preparation.R`,`get_feature_vec`,Extracts a feature (gene or metadata column) from a Seurat object.,"`object`: Seurat object, `feature`: Feature name (gene or metadata column), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Numeric vector of feature values
3,core,`myR/R/core/data_preparation.R`,`get_feature_matrix`,Extracts multiple features from a Seurat object and returns as a matrix.,"`object`: Seurat object, `features`: Character vector of feature names, `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Subset of cells to extract (default: all cells)",Matrix with features as rows and cells as columns
4,core,`myR/R/core/data_preparation.R`,`prepare_metadata_table`,Extracts and optionally filters metadata from a Seurat object.,"`object`: Seurat object, `columns`: Specific columns to extract (NULL = all columns), `cells`: Subset of cells (NULL = all cells), `drop_na`: Whether to drop rows with NA values (default: FALSE)",Data frame of metadata
5,core,`myR/R/core/data_preparation.R`,`aggregate_expression_by_group`,"Aggregates gene expression across cells within groups (e.g., clusters, samples).","`object`: Seurat object, `features`: Features (genes) to aggregate, `group_by`: Metadata column to group by, `method`: Aggregation method: ""mean"", ""median"", ""sum"" (default: ""mean""), `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data"")",Matrix with features as rows and groups as columns
6,core,`myR/R/core/data_preparation.R`,`prepare_count_matrix`,Extracts a count matrix from a Seurat object with optional filtering.,"`object`: Seurat object, `assay`: Assay to use (default: ""RNA""), `slot`: Slot to use (default: ""counts""), `features`: Features to include (NULL = all), `cells`: Cells to include (NULL = all), `min_cells`: Minimum number of cells expressing a feature (default: 0), `min_features`: Minimum number of features expressed in a cell (default: 0)",Sparse or dense matrix of counts
7,core,`myR/R/core/data_preparation.R`,`convert_to_long_format`,Converts expression data to long (tidy) format for ggplot2.,"`object`: Seurat object, `features`: Features to include, `metadata_cols`: Metadata columns to include, `assay`: Assay to use (default: DefaultAssay), `slot`: Slot to use (default: ""data""), `cells`: Cells to include (NULL = all)","Data frame in long format with columns: cell, feature, expression, and metadata"
8,core,`myR/R/core/data_preparation.R`,`check_data_quality`,Performs basic quality checks on expression data.,"`data`: Matrix or data frame of expression data, `check_finite`: Check for infinite values (default: TRUE), `check_na`: Check for NA values (default: TRUE), `check_negative`: Check for negative values (default: TRUE)",List with logical flags and counts of issues found
9,core,`myR/R/core/validation.R`,`validate_seurat`,Checks if the input is a valid Seurat object with expected components.,"`obj`: Object to validate, `assay`: Optional assay name to check for, `reduction`: Optional reduction name to check for, `min_cells`: Minimum number of cells required, `min_features`: Minimum number of features required","TRUE if valid, stops with error message otherwise"
10,core,`myR/R/core/validation.R`,`validate_metadata_column`,Checks if a metadata column exists and optionally validates its type.,"`obj`: Seurat object or data frame, `column_name`: Column name to validate, `required_type`: Optional required type (""numeric"", ""factor"", ""character""), `allow_na`: Whether NA values are allowed","TRUE if valid, stops with error message otherwise"
11,core,`myR/R/core/validation.R`,`validate_genes`,Checks if genes exist in the object and optionally filters to valid genes.,"`obj`: Seurat object or character vector of available genes, `genes`: Character vector of genes to validate, `min_present`: Minimum number of genes that must be present (default: all), `assay`: Assay to check genes in (for Seurat objects), `warn_missing`: Whether to warn about missing genes",Character vector of valid genes present in the object
12,core,`myR/R/core/validation.R`,`validate_numeric_range`,Checks if a numeric parameter is within acceptable range.,"`value`: Numeric value to validate, `param_name`: Name of parameter (for error messages), `min`: Minimum allowed value (inclusive), `max`: Maximum allowed value (inclusive), `allow_na`: Whether NA is allowed","TRUE if valid, stops with error message otherwise"
