id,directory,filepath,function_name,description,input_parameters,returns
1,core,`myR/R/core/data_preparation.R`,`.get_feature_vector`,Seurat 개체에서 특징(유전자 또는 메타데이터 열)을 추출하는 내부 도우미입니다.,"객체`: 서랏 객체, `피처`: 기능 이름(유전자 또는 메타데이터 열), `assay`: 사용할 분석(기본값: DefaultAssay), `슬롯`: 사용할 슬롯(기본값: ""데이터""), `cells`: 추출할 세포의 하위 집합(기본값: 모든 세포)",특징 값의 숫자 벡터
2,core,`myR/R/core/data_preparation.R`,`get_feature_vec`,Seurat 개체에서 특징(유전자 또는 메타데이터 열)을 추출합니다.,"객체`: 서랏 객체, `피처`: 기능 이름(유전자 또는 메타데이터 열), `assay`: 사용할 분석(기본값: DefaultAssay), `슬롯`: 사용할 슬롯(기본값: ""데이터""), `cells`: 추출할 세포의 하위 집합(기본값: 모든 세포)",특징 값의 숫자 벡터
3,core,`myR/R/core/data_preparation.R`,`get_feature_matrix`,Seurat 개체에서 여러 피처를 추출하여 행렬로 반환합니다.,"객체`: 서랫 객체, `features`: 특징 이름의 문자 벡터, `assay`: 사용할 분석(기본값: DefaultAssay), `슬롯`: 사용할 슬롯(기본값: ""데이터""), `cells`: 추출할 셀의 하위 집합(기본값: 모든 셀)","기능을 행으로, 셀을 열로 사용하는 행렬"
4,core,`myR/R/core/data_preparation.R`,`prepare_metadata_table`,Seurat 개체에서 메타데이터를 추출하고 선택적으로 필터링합니다.,"객체`: Seurat 객체, `columns`: 추출할 특정 열(NULL = 모든 열), `cells`: 셀의 하위 집합(NULL = 모든 셀), `drop_na`: NA 값이 있는 행을 삭제할지 여부(기본값: FALSE)",메타데이터의 데이터 프레임
5,core,`myR/R/core/data_preparation.R`,`aggregate_expression_by_group`,"그룹(예: 클러스터, 샘플) 내 세포 전반의 유전자 발현을 집계합니다.","객체`: 서랏 객체, `features`: 집계할 특징(유전자), `group_by`: 그룹화할 메타데이터 열, `method`: 집계 방법: ""평균"", ""중앙값"", ""합계""(기본값: ""평균""), `assay`: 사용할 분석(기본값: DefaultAssay), `슬롯`: 사용할 슬롯(기본값: ""데이터"")","기능을 행으로, 그룹을 열로 사용하는 매트릭스"
6,core,`myR/R/core/data_preparation.R`,`prepare_count_matrix`,선택적 필터링을 사용하여 Seurat 개체에서 카운트 행렬을 추출합니다.,"`객체`: 서랏 객체, `assay`: 사용할 분석(기본값: ""RNA""), `슬롯`: 사용할 슬롯(기본값: ""카운트""), `features`: 포함할 기능(NULL = 모두), `cells`: 포함할 셀(NULL = 모두), `min_cells`: 피처를 표현하는 최소 셀 수(기본값: 0), `min_features`: 셀에 표현되는 최소 기능 수(기본값: 0)",희소하거나 밀집된 카운트 매트릭스
7,core,`myR/R/core/data_preparation.R`,`convert_to_long_format`,표현식 데이터를 ggplot2용 긴(깔끔한) 형식으로 변환합니다.,"객체`: 서랏 객체, `기능`: 포함할 기능, `metadata_cols`: 포함할 메타데이터 열, `assay`: 사용할 분석(기본값: DefaultAssay), `슬롯`: 사용할 슬롯(기본값: ""데이터""), `cells`: 포함할 셀(NULL = 모두)","열이 있는 긴 형식의 데이터 프레임: 셀, 기능, 표현식 및 메타데이터"
8,core,`myR/R/core/data_preparation.R`,`check_data_quality`,표현식 데이터에 대한 기본 품질 검사를 수행합니다.,"데이터`: 표현식 데이터의 행렬 또는 데이터 프레임, `check_finite`: 무한대 값 확인(기본값: TRUE), `check_na`: NA 값 확인(기본값: TRUE), `check_negative`: 음수 값 확인(기본값: TRUE)",논리적 플래그와 발견된 문제 수가 포함된 목록
9,core,`myR/R/core/validation.R`,`validate_seurat`,입력이 예상 컴포넌트가 있는 유효한 Seurat 객체인지 확인합니다.,"`obj`: 검증할 개체, `assay`: 확인할 선택적 분석 이름, `환원`: 확인할 선택적 환원 이름, `min_cells`: 필요한 최소 셀 수, `min_features`: 필요한 최소 피처 수","유효하면 TRUE, 그렇지 않으면 오류 메시지와 함께 중지합니다."
10,core,`myR/R/core/validation.R`,`validate_metadata_column`,메타데이터 열이 있는지 확인하고 선택적으로 해당 유형의 유효성을 검사합니다.,"오브젝트`: 서랏 객체 또는 데이터 프레임, `column_name`: 유효성을 검사할 열 이름, `required_type`: 선택적 필수 유형(""숫자"", ""인자"", ""문자""), `allow_na`: NA 값 허용 여부","유효하면 TRUE, 그렇지 않으면 오류 메시지와 함께 중지합니다."
